,home_runs,player_name,total_pitches,pitch_percent,xwoba,xba,launch_speed,launch_angle,spin_rate,velocity,effective_speed,release_extension
17,34,Eugenio Suarez,2429,1.4,1.486,0.769,104.4,28.6,2162.0,87.9,87.58,5.95
18,34,Bryce Harper,2877,1.2,1.652,0.83,106.8,29.1,2240.0,90.7,90.1,5.98
19,33,Paul Goldschmidt,2905,1.1,1.4240000000000002,0.7190000000000001,104.5,31.1,2235.0,88.6,88.08,5.92
20,32,Travis Shaw,2391,1.3,1.425,0.76,104.9,27.5,2167.0,90.0,89.83,6.06
21,32,Edwin Encarnacion,2293,1.4,1.4780000000000002,0.7659999999999999,103.7,28.0,2270.0,90.4,90.35,6.18
22,32,Mookie Betts,2582,1.2,1.4340000000000002,0.7490000000000001,103.4,28.0,2230.0,88.5,88.09,6.08
23,31,Alex Bregman,2821,1.1,1.042,0.5760000000000001,100.6,28.1,2164.0,89.3,88.89,6.15
24,30,Justin Upton,2527,1.2,1.489,0.7859999999999999,104.7,27.8,2333.0,86.0,85.41,5.92
25,30,C.J. Cron,2172,1.4,1.565,0.8059999999999999,106.4,27.8,2195.0,87.7,87.02,5.88
26,30,David Peralta,2272,1.3,1.315,0.7070000000000001,103.6,27.3,2298.0,87.7,87.06,5.84
27,29,Charlie Blackmon,2724,1.1,1.3030000000000002,0.6890000000000001,103.0,28.8,2230.0,88.4,88.31,6.02
28,29,Matt Olson,2844,1.0,1.6130000000000002,0.82,106.2,28.5,2206.0,87.7,87.1,5.91
29,28,Mike Moustakas,2380,1.2,1.349,0.72,103.4,28.1,2198.0,86.6,86.19,5.96
30,28,Michael Conforto,2654,1.1,1.399,0.732,103.6,27.5,2194.0,88.2,87.58,5.91
31,27,Daniel Palka,1839,1.5,1.5830000000000002,0.853,108.5,26.1,2125.0,89.4,89.13,6.03
32,27,Aaron Judge,2124,1.3,1.528,0.794,107.8,28.3,2356.0,89.2,88.43,5.81
33,27,Didi Gregorius,2082,1.3,0.945,0.5529999999999999,100.1,26.4,2157.0,88.5,88.23,6.16
34,27,Aaron Hicks,2487,1.1,1.185,0.629,102.0,29.4,2139.0,88.6,88.36,6.17
35,27,Stephen Piscotty,2167,1.2,1.386,0.708,103.4,29.7,2308.0,88.5,88.24,6.1
36,27,Salvador Perez,1926,1.4,1.317,0.7140000000000001,103.6,28.0,2219.0,88.6,88.34,6.01
37,27,Miguel Andujar,2135,1.3,1.057,0.574,101.2,28.8,2240.0,87.4,86.87,5.99
38,26,Kyle Schwarber,2139,1.2,1.546,0.8140000000000001,106.7,27.5,2148.0,88.2,87.62,5.92
39,26,Mitch Haniger,2716,1.0,1.6480000000000001,0.8440000000000001,105.0,28.3,2262.0,90.0,89.01,5.74
40,26,Hunter Renfroe,1715,1.5,1.4880000000000002,0.78,106.4,28.3,2164.0,87.9,87.32,5.86
41,26,Ronald Acuna Jr.,1985,1.3,1.6030000000000002,0.815,105.9,29.1,2213.0,89.4,89.23,6.07
42,25,Evan Gattis,1714,1.5,1.105,0.579,101.4,30.8,2254.0,88.6,88.29,6.13
43,25,Cody Bellinger,2644,0.9,1.475,0.753,104.7,30.3,2275.0,91.0,90.81,6.12
44,25,Randal Grichuk,1799,1.4,1.473,0.79,105.3,26.2,2186.0,89.5,89.0,6.01
45,25,Joc Pederson,1838,1.4,1.25,0.6709999999999999,104.1,28.8,2215.0,90.9,90.53,5.91
46,25,Anthony Rizzo,2444,1.0,1.321,0.706,103.9,28.6,2111.0,88.7,88.52,6.1
47,25,Justin Smoak,2452,1.0,1.2109999999999999,0.625,102.4,30.8,2261.0,90.7,90.49,6.2
48,24,Ozzie Albies,2386,1.0,1.057,0.575,101.3,28.7,2148.0,88.4,87.81,5.96
49,24,Yasmani Grandal,2222,1.1,1.446,0.77,104.0,27.5,2135.0,90.9,90.57,6.03
50,24,Trey Mancini,2516,1.0,1.354,0.723,103.8,28.0,2237.0,89.0,88.53,5.99
51,24,Matt Chapman,2544,0.9,1.281,0.731,105.4,26.1,2277.0,87.5,86.98,5.95
52,24,Carlos Santana,2801,0.9,1.375,0.7340000000000001,103.9,27.8,2156.0,89.8,89.25,6.0
53,24,Ryon Healy,1917,1.3,1.365,0.725,103.8,27.3,2145.0,87.4,86.73,5.81
54,24,Eddie Rosario,2100,1.1,0.9359999999999999,0.483,100.3,32.2,2352.0,86.3,85.19,5.78
55,24,Gleyber Torres,1951,1.2,1.3840000000000001,0.7140000000000001,103.0,29.7,2133.0,90.0,89.73,6.06
56,24,Anthony Rendon,2365,1.0,1.329,0.7020000000000001,103.3,28.4,2284.0,88.2,87.75,5.98
57,23,Asdrubal Cabrera,2232,1.0,1.093,0.568,101.7,32.0,2170.0,88.5,87.85,5.98
58,23,Gregory Polanco,2213,1.0,1.547,0.804,104.5,27.5,2115.0,89.0,88.92,6.18
